context,action,reward,"Q(c,23)","Q(c,14)","Q(c,8)","Q(c,3)"
reward,23,23,14.292008300019388,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,-8,-7.909690626508077,-5.533699749246953,-1.191351001070979,-2.3138748777839826
reward,23,-23,10.562807470017448,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,8,8,-1.4331550040452399,0.19968433863340374,-1.5238275076211611,-0.06393058227397991
punishment,8,-8,-7.909690626508077,-5.533699749246953,-1.872215900963881,-2.3138748777839826
punishment,8,-8,-7.909690626508077,-5.533699749246953,-2.484994310867493,-2.3138748777839826
punishment,8,-8,-7.909690626508077,-5.533699749246953,-3.0364948797807436,-2.3138748777839826
reward,23,23,11.806526723015704,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-1.4331550040452399,0.19968433863340374,-1.5238275076211611,-0.35753752404658196
punishment,3,-3,-7.909690626508077,-5.533699749246953,-3.0364948797807436,-2.3824873900055845
punishment,8,8,-7.909690626508077,-5.533699749246953,-1.9328453918026691,-2.3824873900055845
neutral,14,-14,-1.4331550040452399,-1.2202840952299367,-1.5238275076211611,-0.35753752404658196
neutral,3,3,-1.4331550040452399,-1.2202840952299367,-1.5238275076211611,-0.021783771641923744
neutral,23,-23,-3.589839503640716,-1.2202840952299367,-1.5238275076211611,-0.021783771641923744
neutral,14,-14,-3.589839503640716,-2.498255685706943,-1.5238275076211611,-0.021783771641923744
neutral,3,-3,-3.589839503640716,-2.498255685706943,-1.5238275076211611,-0.3196053944777314
reward,23,-23,8.325874050714134,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,-23,5.19328664564272,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-3.589839503640716,-2.498255685706943,-1.5238275076211611,-0.5876448550299582
reward,23,23,6.973957981078448,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,8.576562182970603,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,10.018905964673543,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-3.589839503640716,-2.498255685706943,-1.5238275076211611,-0.8288803695269624
reward,23,23,11.317015368206189,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-3.589839503640716,-2.498255685706943,-1.5238275076211611,-1.0459923325742662
neutral,14,14,-3.589839503640716,-0.8484301171362487,-1.5238275076211611,-1.0459923325742662
reward,23,23,12.48531383138557,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,3,-7.909690626508077,-5.533699749246953,-1.9328453918026691,-1.8442386510050262
reward,23,23,13.536782448247013,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,-8,-7.909690626508077,-5.533699749246953,-2.5395608526224023,-1.8442386510050262
reward,23,23,14.483104203422313,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,3,-3.589839503640716,-0.8484301171362487,-1.5238275076211611,-0.6413930993168395
punishment,3,-3,-7.909690626508077,-5.533699749246953,-2.5395608526224023,-1.9598147859045236
reward,23,23,15.334793783080082,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,23,-23,-5.530855553276645,-0.8484301171362487,-1.5238275076211611,-0.6413930993168395
neutral,8,-8,-5.530855553276645,-0.8484301171362487,-2.171444756859045,-0.6413930993168395
punishment,3,-3,-7.909690626508077,-5.533699749246953,-2.5395608526224023,-2.0638333073140713
neutral,3,3,-5.530855553276645,-0.8484301171362487,-2.171444756859045,-0.27725378938515555
neutral,8,8,-5.530855553276645,-0.8484301171362487,-1.1543002811731402,-0.27725378938515555
punishment,8,-8,-7.909690626508077,-5.533699749246953,-3.085604767360162,-2.0638333073140713
neutral,3,-3,-5.530855553276645,-0.8484301171362487,-1.1543002811731402,-0.54952841044664
punishment,14,-14,-7.909690626508077,-6.380329774322258,-3.085604767360162,-2.0638333073140713
reward,23,-23,11.501314404772074,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,12.651182964294867,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,14,-14,-5.530855553276645,-2.163587105422624,-1.1543002811731402,-0.54952841044664
neutral,14,14,-5.530855553276645,-0.5472283948803616,-1.1543002811731402,-0.54952841044664
punishment,3,-3,-7.909690626508077,-6.380329774322258,-3.085604767360162,-2.1574499765826642
punishment,8,8,-7.909690626508077,-6.380329774322258,-1.9770442906241457,-2.1574499765826642
reward,23,23,13.68606466786538,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,14.617458201078843,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,15.45571238097096,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,-8,-7.909690626508077,-6.380329774322258,-2.5793398615617313,-2.1574499765826642
punishment,3,-3,-7.909690626508077,-6.380329774322258,-2.5793398615617313,-2.241704978924398
reward,23,23,16.210141142873862,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,3,-5.530855553276645,-0.5472283948803616,-1.1543002811731402,-0.194575569401976
neutral,14,-14,-5.530855553276645,-1.8925055553923256,-1.1543002811731402,-0.194575569401976
punishment,14,14,-7.909690626508077,-4.342296796890032,-2.5793398615617313,-2.241704978924398
punishment,3,-3,-7.909690626508077,-4.342296796890032,-2.5793398615617313,-2.317534481031958
neutral,3,3,-5.530855553276645,-1.8925055553923256,-1.1543002811731402,0.1248819875382216
neutral,3,-3,-5.530855553276645,-1.8925055553923256,-1.1543002811731402,-0.18760621121560056
punishment,14,14,-7.909690626508077,-2.508067117201029,-2.5793398615617313,-2.317534481031958
reward,23,23,16.889127028586476,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,3,-5.530855553276645,-1.8925055553923256,-1.1543002811731402,0.13115440990595956
reward,23,23,17.50021432572783,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,8,8,-5.530855553276645,-1.8925055553923256,-0.2388702530558261,0.13115440990595956
